Inspection ID,No Violation Found,City Do It,Owner Will Do It,Capital Project Conflict Flag,Cancel,Inspection Date,Is 311 Inspection,Pickup Sidewalk,Curb311,Pickup curb,Other,Correspondence,Damage ID,Damage Type Code
302653,0,0,0,0,0,25-09-2019,1,0,0,0,0,0,5,NS
218128,0,0,0,0,0,01-03-2016,0,1,0,0,0,0,5,NS
75854,0,0,0,0,0,16-08-2007,0,0,0,0,0,0,5,NS
8714,1,0,0,0,0,28-07-1999,0,0,0,0,0,0,5,NS
104357,0,0,0,0,0,27-05-2010,0,0,0,0,0,0,5,NS
145093,0,0,0,0,0,05-01-2012,0,0,0,1,0,0,5,NS
121612,0,0,0,0,0,30-03-2011,0,0,0,0,0,0,5,NS
92612,0,0,0,0,0,12-06-2009,1,0,0,0,0,0,5,NS
36769,0,0,0,1,0,,0,0,0,0,0,0,5,NS
117914,0,0,0,0,0,17-09-2010,0,0,0,0,0,0,5,NS
273482,1,0,0,0,0,09-06-2018,0,1,0,0,0,0,5,NS
338788,0,0,0,0,0,30-03-2022,0,0,1,0,0,0,3,NT
33724,1,0,0,0,0,20-07-1999,0,0,0,0,0,0,5,NS
359585,0,0,0,0,0,08-07-2023,0,1,0,0,0,0,3,NT
86356,0,0,0,0,0,06-10-2008,0,0,0,0,0,0,5,NS
329380,1,0,0,0,0,28-10-2021,0,0,0,0,0,0,5,NS
258861,0,0,0,0,0,05-10-2017,0,1,0,0,0,0,5,NS
93876,0,0,0,0,0,09-07-2009,0,0,0,0,0,0,5,NS
275075,0,0,0,0,0,10-07-2018,1,0,0,0,1,0,5,NS
208790,0,0,0,0,0,26-08-2015,1,0,0,0,0,0,5,NS
540,1,0,0,0,0,29-06-1998,0,0,0,0,0,0,5,NS
155765,1,0,0,0,0,02-06-2012,0,0,0,1,0,0,5,NS
386318,0,0,0,0,0,13-12-2024,1,0,0,0,0,0,3,NT
172592,1,0,0,0,0,29-03-2013,1,0,0,0,0,0,5,NS
315168,0,0,0,0,0,09-11-2020,1,0,0,0,0,0,5,NS
303476,1,0,0,0,0,08-10-2019,0,1,0,0,0,0,5,NS
326539,1,0,0,0,0,14-07-2021,0,1,0,0,0,0,5,NS
126446,0,0,0,0,0,06-05-2011,1,0,0,0,0,0,5,NS
205154,0,0,0,0,0,04-06-2015,0,1,0,0,1,0,5,NS
98617,0,0,0,0,0,09-03-2010,0,0,0,0,0,0,5,NS
225209,1,0,0,0,0,07-06-2016,0,1,0,0,0,0,5,NS
371057,1,0,0,0,0,13-01-2024,0,1,0,0,0,0,6,NL
297967,0,0,0,0,0,12-07-2019,0,1,0,0,0,0,5,NS
39490,0,1,0,0,0,,0,0,0,0,0,0,5,NS
274767,0,0,0,0,0,29-06-2018,0,1,0,0,0,0,5,NS
177736,0,0,0,0,0,16-07-2013,0,1,0,0,0,0,5,NS
273154,1,0,0,0,0,01-06-2018,0,0,0,0,0,0,5,NS
88177,0,0,0,0,0,09-12-2008,0,0,0,0,0,0,5,NS
173297,0,0,0,0,0,05-04-2013,1,0,0,0,0,0,5,NS
45117,0,0,0,0,0,,0,0,0,0,1,0,5,NS
149634,0,0,0,0,0,13-03-2012,0,1,0,0,0,0,5,NS
36805,0,0,0,1,1,,0,0,0,0,0,0,5,NS
323054,0,0,0,0,0,,0,0,0,0,0,0,5,NS
30948,1,0,0,0,0,20-06-1998,0,0,0,0,0,0,5,NS
84941,0,0,0,0,0,27-08-2008,1,0,0,0,0,0,5,NS
247157,1,0,0,0,0,17-05-2017,0,1,0,0,0,0,5,NS
3055,1,0,0,0,0,01-10-1999,0,0,0,0,0,0,5,NS
188150,0,0,0,0,0,02-04-2014,0,1,0,0,0,0,5,NS
284730,0,0,0,0,0,15-01-2019,0,1,0,0,0,0,5,NS
82986,0,0,0,0,0,25-06-2008,0,0,0,0,0,0,5,NS
189783,0,0,0,0,0,02-05-2014,0,0,0,1,0,0,5,NS
356578,0,0,0,0,0,02-05-2023,0,1,0,0,0,0,3,NT
326329,0,0,0,0,0,07-07-2021,0,0,1,0,0,0,5,NS
21162,1,0,0,0,0,28-06-2002,0,0,0,0,0,0,5,NS
111676,0,0,0,0,0,27-07-2010,0,0,0,0,0,0,5,NS
12440,1,0,0,0,0,29-03-1999,0,0,0,0,0,0,5,NS
269815,0,0,0,0,0,11-04-2018,0,1,0,0,0,0,5,NS
129364,0,0,0,0,0,15-07-2011,1,0,0,0,0,0,5,NS
264197,0,0,0,0,0,12-12-2017,0,0,0,1,0,0,5,NS
307368,0,0,0,0,0,26-12-2019,0,1,0,0,0,0,5,NS
56684,0,0,0,0,0,25-09-1996,0,0,0,0,0,0,5,NS
257900,0,0,0,0,0,22-09-2017,1,0,0,0,0,0,5,NS
125633,0,0,0,0,0,29-03-2011,1,0,0,0,0,0,5,NS
275447,0,0,0,0,0,19-07-2018,1,0,0,0,0,0,5,NS
379316,0,0,0,0,0,22-05-2024,0,1,0,0,0,0,1,AT
296543,0,0,0,0,0,28-06-2019,0,0,0,1,0,0,5,NS
228822,0,0,0,0,0,22-07-2016,0,1,0,0,0,0,5,NS
30875,1,0,0,0,0,18-11-2004,0,0,0,0,0,0,5,NS
273245,1,0,0,0,0,07-06-2018,0,0,0,0,0,0,5,NS
220373,0,0,0,0,0,13-04-2016,0,1,0,0,0,0,5,NS
69772,0,0,0,0,0,26-10-2006,1,0,0,0,0,0,5,NS
338691,0,0,0,0,0,09-06-2022,0,1,0,0,0,0,3,NT
249963,1,0,0,0,0,21-06-2017,0,1,0,0,0,0,5,NS
183572,1,0,0,0,0,13-12-2013,0,0,0,0,0,0,5,NS
336008,0,0,0,0,0,22-04-2022,0,1,0,0,0,0,2,PT
86062,0,0,0,0,0,01-10-2008,0,0,0,0,0,0,5,NS
192961,1,0,0,0,0,15-07-2014,1,0,0,0,0,0,5,NS
32434,0,0,0,0,0,09-06-1995,0,0,0,0,0,0,5,NS
262680,0,0,0,0,0,21-11-2017,0,1,0,0,0,0,5,NS
101703,0,0,0,0,0,04-05-2010,0,0,0,0,0,0,5,NS
11373,1,0,0,0,0,20-01-1999,0,0,0,0,0,0,5,NS
18397,0,0,0,0,0,,0,0,0,0,0,0,5,NS
192812,1,0,0,0,0,02-07-2014,0,1,0,0,0,0,5,NS
150678,0,0,0,0,0,03-04-2012,0,1,0,0,0,0,5,NS
59562,1,0,0,0,0,09-12-2004,0,0,0,0,0,0,5,NS
368053,1,0,0,0,0,24-11-2023,0,1,0,0,0,0,3,NT
227253,0,0,0,0,0,19-07-2016,0,1,0,0,0,0,5,NS
342343,0,0,0,0,0,27-08-2022,0,1,0,0,0,0,4,ND
226609,0,0,0,0,0,08-07-2016,0,1,0,0,0,0,5,NS
98165,0,0,0,0,0,,0,0,0,0,0,0,5,NS
372057,0,0,0,0,0,22-02-2024,1,0,0,0,0,0,3,NT
352937,0,0,0,0,0,15-02-2023,1,0,0,0,1,0,6,NL
327415,0,0,0,0,0,16-09-2021,0,0,0,1,0,0,5,NS
384292,1,0,0,0,0,01-10-2024,1,0,0,0,0,0,4,ND
33191,1,0,0,0,0,14-07-1999,0,0,0,0,0,0,5,NS
126633,0,0,0,0,0,06-05-2011,0,0,0,0,1,0,5,NS
314050,0,0,0,0,0,27-08-2020,0,0,0,0,1,0,5,NS
14293,1,0,0,0,0,31-08-1998,0,0,0,0,0,0,5,NS
308984,0,0,0,0,0,23-01-2020,0,0,0,1,0,0,5,NS
128255,0,0,0,0,0,21-06-2011,1,0,0,0,0,0,5,NS
242171,0,0,0,0,0,27-01-2017,0,1,0,0,0,0,5,NS
271633,0,0,0,0,0,27-04-2018,0,1,0,0,0,0,5,NS
39286,0,0,0,0,0,07-01-1999,0,0,0,0,0,0,5,NS
128675,0,0,0,0,0,22-07-2011,0,0,0,0,1,0,5,NS
127335,0,0,0,0,0,24-05-2011,0,1,0,0,0,0,5,NS
313559,0,0,0,0,0,20-03-2020,0,1,0,0,0,0,5,NS
207188,0,0,0,0,0,11-07-2015,0,1,0,0,0,0,5,NS
53994,0,0,0,0,0,18-09-2002,0,0,0,0,0,0,5,NS
373859,0,0,0,0,0,,0,0,0,0,0,0,6,NL
144949,0,0,0,0,0,06-01-2012,0,0,0,0,1,0,5,NS
83165,0,0,0,0,0,26-06-2008,0,0,0,0,0,0,5,NS
9796,0,0,0,0,1,,0,0,0,0,0,0,5,NS
156108,0,0,0,0,0,07-06-2012,0,0,1,0,0,0,5,NS
204417,0,0,0,0,0,22-05-2015,0,1,0,0,1,0,5,NS
235701,0,0,0,0,0,10-11-2016,0,0,0,1,0,0,5,NS
240737,0,0,0,0,0,13-01-2017,0,0,1,0,0,0,5,NS
171633,1,0,0,0,0,21-02-2013,0,1,0,0,0,0,5,NS
94751,0,0,0,0,0,14-08-2009,0,0,0,0,0,0,5,NS
66621,0,0,0,0,0,,0,0,0,0,0,0,5,NS
216314,0,0,0,0,0,19-02-2016,0,1,0,0,0,0,5,NS
226773,0,0,0,0,0,07-07-2016,0,1,0,0,0,0,5,NS
103665,1,0,0,0,0,23-04-2010,0,0,0,0,0,0,5,NS
171285,0,0,0,0,0,,0,0,0,0,0,0,5,NS
329526,0,0,0,0,0,12-11-2021,0,1,0,0,0,0,6,NL
195513,0,0,0,0,0,23-08-2014,0,1,0,0,0,0,5,NS
306426,0,0,0,0,0,04-12-2019,1,0,0,0,0,0,5,NS
66171,0,0,0,0,1,,0,0,0,0,0,0,5,NS
333162,0,0,0,0,0,25-11-2020,0,0,0,1,1,0,1,AT
20969,1,0,0,0,0,10-02-1999,0,0,0,0,0,0,5,NS
154323,0,0,0,0,0,19-05-2012,0,0,0,1,0,0,5,NS
15327,0,0,0,0,0,,0,0,0,0,0,0,5,NS
72640,0,0,0,0,0,15-03-2007,0,0,0,0,0,0,5,NS
2724,1,0,0,0,0,13-02-1998,0,0,0,0,0,0,5,NS
122720,1,0,0,0,0,02-03-2011,0,1,0,0,0,0,5,NS
178965,1,0,0,0,0,19-06-2013,0,1,0,0,0,0,5,NS
314689,0,0,0,0,0,17-11-2020,1,0,0,0,0,0,5,NS
187744,1,0,0,0,0,16-01-2014,0,0,0,0,1,0,5,NS
319461,1,0,0,0,0,26-03-2021,0,0,0,1,1,0,5,NS
273080,0,0,0,0,0,06-06-2018,1,0,0,0,0,0,5,NS
128779,0,0,0,0,0,,0,0,0,0,0,0,5,NS
188646,1,0,0,0,0,11-04-2014,0,1,0,0,0,0,5,NS
357769,1,0,0,0,0,30-05-2023,0,1,0,0,0,0,4,ND
216234,0,0,0,0,0,22-01-2016,0,1,0,0,0,0,5,NS
176722,0,0,0,0,0,,0,0,0,0,0,0,5,NS
232432,0,0,0,0,0,13-09-2016,0,1,0,0,0,0,5,NS
385698,0,0,0,0,0,27-11-2024,1,0,0,0,0,0,6,NL
342737,1,0,0,0,0,12-08-2022,0,0,1,0,0,0,6,NL
330005,0,0,0,0,0,10-11-2021,0,0,0,1,0,0,1,AT
381248,1,0,0,0,0,30-08-2024,0,0,0,1,0,0,4,ND
158646,0,0,0,0,0,09-06-2012,0,0,0,1,0,0,5,NS
180819,0,0,0,0,0,12-09-2013,1,0,0,0,0,0,5,NS
273876,0,0,0,0,0,09-06-2018,0,1,0,0,0,0,5,NS
356292,0,0,0,0,0,14-04-2023,0,1,0,0,0,0,6,NL
146378,0,0,0,0,0,13-01-2012,0,0,0,1,0,0,5,NS
101891,0,0,0,0,0,04-05-2010,0,0,0,0,0,0,5,NS
214231,0,0,0,0,0,,0,0,0,0,0,0,5,NS
182533,0,0,0,0,0,28-09-2013,1,0,0,0,1,0,5,NS
130803,1,0,0,0,0,28-07-2011,0,1,0,0,0,0,5,NS
289414,0,0,0,0,0,09-04-2019,0,0,0,1,0,0,5,NS
144230,1,0,0,0,0,20-12-2011,1,0,0,0,0,0,5,NS
125372,0,0,0,0,0,,0,0,0,0,0,0,5,NS
132077,0,0,0,0,0,11-08-2011,0,1,0,0,0,0,5,NS
23923,0,0,0,0,0,,0,0,0,0,0,0,5,NS
383354,0,0,0,0,0,17-09-2024,0,1,0,0,0,0,6,NL
128812,0,0,0,0,0,30-06-2011,0,0,0,0,1,0,5,NS
224936,1,0,0,0,0,10-06-2016,0,1,0,0,0,0,5,NS
150739,0,0,0,0,0,05-04-2012,0,1,0,0,0,0,5,NS
285708,0,0,0,0,0,08-02-2019,0,1,0,0,0,0,5,NS
383456,0,0,0,0,0,30-09-2024,1,0,0,0,0,0,2,PT
216784,1,0,0,0,0,12-02-2016,0,0,0,0,0,0,5,NS
137809,0,0,0,0,0,22-10-2011,0,0,0,0,1,0,5,NS
84833,0,0,0,0,0,18-06-2008,1,0,0,0,0,0,5,NS
151615,0,0,0,0,0,27-03-2012,0,1,0,0,0,0,5,NS
234161,0,0,0,0,0,12-10-2016,0,1,0,0,0,0,5,NS
236019,0,0,0,0,0,17-11-2016,0,1,0,0,1,0,5,NS
106658,0,0,0,0,0,01-06-2010,0,0,0,0,0,0,5,NS
24483,0,0,0,0,0,,0,0,0,0,0,0,5,NS
200822,0,0,0,0,0,13-01-2015,0,1,0,0,0,0,5,NS
345789,0,0,0,0,0,07-10-2022,0,1,0,0,0,0,1,AT
245107,0,0,0,0,0,19-04-2017,0,0,1,0,0,0,5,NS
268547,0,0,0,0,0,16-03-2018,0,1,0,0,0,0,5,NS
302058,0,0,0,0,0,18-09-2019,0,1,0,0,0,0,5,NS
177289,1,0,0,0,0,06-07-2013,0,0,1,0,1,0,5,NS
